# H1, H2, H3, H4
0.29,0.28,0.69,0.03
0.96,0.92,0.43,0.98
0.72,0.53,0.38,0.25
0.81,0.50,0.78,0.64
0.88,0.43,0.71,0.06
0.55,0.94,0.70,0.51
0.58,0.13,0.44,0.48
0.67,0.75,0.36,0.92
0.77,0.51,0.10,0.69
0.25,0.86,0.64,0.91
0.44,0.79,0.88,0.41
0.13,0.35,0.17,0.41
0.01,0.01,0.77,0.78
0.83,0.67,0.90,0.80
0.40,0.49,0.44,0.32
0.44,0.01,0.17,0.83
0.14,0.23,0.82,0.86
0.63,0.95,0.96,0.93
0.07,0.45,0.41,0.56
0.74,0.85,0.83,0.30
0.43,0.18,0.27,0.91
0.45,0.54,0.53,0.84
0.17,0.59,0.32,0.66
0.69,0.53,0.61,0.25
0.32,0.62,0.80,0.07
0.33,0.31,0.43,0.61
0.50,0.90,0.15,0.00
0.72,0.88,0.79,0.69
0.99,0.53,0.31,0.96
0.69,0.74,0.37,0.75
0.71,0.21,0.59,0.37
0.38,0.16,0.20,0.76
0.12,0.73,0.07,0.94
0.53,0.10,0.45,0.28
0.88,0.68,0.56,0.77
0.51,0.44,0.85,0.85
0.08,0.32,0.38,0.27
0.54,0.82,0.83,0.54
0.51,0.21,0.50,0.07
0.75,0.80,0.15,0.52
0.09,0.03,0.13,0.83
0.32,0.76,0.12,0.98
0.32,0.19,0.31,0.55
0.66,0.75,0.55,0.40
0.43,0.11,0.34,0.26
0.32,0.73,0.68,0.54
0.87,0.60,0.18,0.66
0.07,0.74,0.33,0.82
0.03,0.26,0.05,0.90
0.17,0.39,0.38,0.05
