#NAME?,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,MoM,YoY 
Agric eggs medium size,471.21,489.99,590.75,520,530.22,525,490,462.5,450.5,466.5,416.92,461.18,450,498,510,574,573.33,540,450,480,463.33,470,480,475.71,475.71,451.43,441.43,475.71,445.14,495.71,475.43,464,475,480,461.25,450,452.36,444.44,455.29,480,480,476.43,480,487.06,493.57,495.08,495,500,499.29,496.43,513.33,553.33,594.29,605,682.73,687.5,0.7,41.15
Agric eggs(medium size price of one),48.09,49.67,49.25,46,48.13,47.25,45,40,38.13,40,37.08,37.06,40,40,40,39.55,39.44,40,40,40,38.89,40,40,40,40,40,39.29,40,40.36,40,40.21,40,40.04,40,39.38,42,42.16,39.44,39.13,42,42,42.23,42,42,43,42,43.33,45.67,44,44.5,48.11,50,50,51.63,57.55,57.12,-0.74,35.99
"Beans brown,sold loose",322.05,286.86,321.72,325.85,341.23,351.28,357.54,352,347.38,332,324.06,359.67,442.12,430.55,402.5,425.82,427.67,498.37,456.04,481.16,467.95,425.37,393.27,331.64,331.64,310.91,291.68,301.9,300.9,271.9,271.62,259.17,274.99,275.64,233.06,266.55,272.12,257.96,233.3,259.18,245.38,256.94,259.22,257.99,262.92,265.73,256.54,265.07,262.92,282.92,296.48,312.34,353.92,386.41,430.77,485.78,12.77,88.3
Beans:white black eye. sold loose,244.3,244.21,240.99,272.86,287.75,289.04,297.28,309.41,311.68,309.41,281.25,305.71,367.3,377.59,378.06,385.38,388.23,389.32,382.51,390.24,365.29,381.32,365.51,339.32,339.32,339.38,331.46,337.46,337.46,297.46,267.46,224.69,249.19,299.93,262.79,272.98,282.8,235.64,212.97,235.39,221.92,227.51,230.85,235.14,243.42,248.25,236.09,246.91,243.42,263.42,280.21,290.14,337.86,351.5,420.34,448.73,6.75,90.83
Beef Bone in,1118.78,1141.67,1108.33,1014.29,1000,1086.19,1010,1042.86,1037.5,1042.86,1010,1065.56,1025,1100,1057.14,1050,1028.57,1100,1150,1120,950,900,1062.5,1020,1080,977.67,971.43,1030.95,998.95,980.95,1021.43,1066.66,1022.67,1022.22,1057.14,1075,1087.14,1105,1162.5,1190,1128.57,1120,1120,1126.56,1138.75,1167.57,1116.67,1135,1186.25,1223.75,1200,1243.33,1300,1332.86,1371.43,1342.86,-2.08,19.2
"Beef,boneless",1305.69,1340.71,1350,1357.14,1334.57,1350,1300,1387.5,1325,1000,1032.14,1156.14,1287.5,1225.93,1100,1018.18,1100,1100,1206.19,1226.19,1014.29,1100,1050,1133.33,1133.33,1125,1115,1175,1165,1105,1128.93,1150,1202,1220,1219.91,1230,1244.44,1187.5,1150,1179.09,1137.5,1161.67,1178.18,1189.47,1200.67,1250,1262.5,1290,1248.1,1348.1,1403.33,1412.86,1462.5,1433.33,1480,1533.33,3.6,28.91
Bread sliced 500g,301.43,350,322.22,288.75,292.86,325,300,314.29,310,304.29,310,276.67,325,344.44,350,350,354.29,350,345,350,326.25,350,338.89,314.29,316.67,300.25,285.71,316.67,310,316.67,316,312.5,332.38,343.75,350,335,335.71,328.57,326.92,336.67,326.86,335.71,335,341.11,352.43,353,351.25,350,351.43,351.43,350,366.67,355.71,373.75,400,405,1.25,18.73
Bread unsliced 500g,279.76,320.55,306.67,282.5,292.5,292.86,262.5,318.75,282.5,280.22,275,280.77,300,321.43,343.75,350,370,350,350,350,357.78,350,327.27,300,298.33,282.86,285.71,293.75,293.75,293.75,293,260,295,303.33,333.33,325,338.89,350,380,368.18,365.71,335,324.17,367.86,368.46,365,356.25,350,358.46,348.46,347.5,350,348.75,358.57,375,393.75,5,7.04
Broken Rice (Ofada),274.77,293.32,362.56,314.01,380.11,390.09,385.1,304.59,314.48,304.6,300.45,469.54,465.52,434.48,447.13,453.69,465.52,410.34,400,439.53,455.86,410.34,390.64,412.32,347.41,354.6,359.48,355.27,365.27,355.27,365.27,358.62,346.67,380.17,364.14,341.38,356.44,297.57,274.47,298.62,293.1,314.66,315.86,315.79,318.13,320.11,327.82,350.57,348.13,348.13,358.62,379.31,379.31,393.1,386.49,413.79,7.06,31.03
Chicken Feet,700,728.33,691.43,734.85,732.22,740,736.11,785.53,770,619.73,705.2,682.34,687.5,708.89,500,515.1,527,531.82,591.67,615.71,636.36,574.68,546.98,555,607.5,578.57,568.82,575,545,500,495.31,500,502.61,498.02,442.5,470.92,480,499.44,500,512.5,495.5,500,554.58,565,560,567.5,646.43,673.75,655,650,716.67,784.17,787.5,780,800,842.86,5.36,49.18
